# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\skyn3\Desktop\Lab4.csv
# Generated on: Wed Apr 29 15:33:14 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
BUTTON1,Input,PIN_G3,1,B1_N0,PIN_G3,,,,,
BUTTON2,Input,PIN_F1,1,B1_N0,PIN_F1,,,,,
Clk,Input,PIN_G21,6,B6_N1,PIN_G21,,,,,
LED_1[7],Output,PIN_F13,7,B7_N1,PIN_F13,,,,,
LED_1[6],Output,PIN_F12,7,B7_N1,PIN_F12,,,,,
LED_1[5],Output,PIN_G12,7,B7_N1,PIN_G12,,,,,
LED_1[4],Output,PIN_H13,7,B7_N1,PIN_H13,,,,,
LED_1[3],Output,PIN_H12,7,B7_N1,PIN_H12,,,,,
LED_1[2],Output,PIN_F11,7,B7_N1,PIN_F11,,,,,
LED_1[1],Output,PIN_E11,7,B7_N1,PIN_E11,,,,,
LED_1[0],Output,PIN_D13,7,B7_N1,PIN_D13,,,,,
LED_10[7],Output,PIN_A15,7,B7_N1,PIN_A15,,,,,
LED_10[6],Output,PIN_E14,7,B7_N1,PIN_E14,,,,,
LED_10[5],Output,PIN_B14,7,B7_N1,PIN_B14,,,,,
LED_10[4],Output,PIN_A14,7,B7_N1,PIN_A14,,,,,
LED_10[3],Output,PIN_C13,7,B7_N1,PIN_C13,,,,,
LED_10[2],Output,PIN_B13,7,B7_N1,PIN_B13,,,,,
LED_10[1],Output,PIN_A13,7,B7_N1,PIN_A13,,,,,
LED_10[0],Output,PIN_B15,7,B7_N1,PIN_B15,,,,,
RC_OUT[9],Output,PIN_B1,1,B1_N0,PIN_B1,,,,,
RC_OUT[8],Output,PIN_B2,1,B1_N0,PIN_B2,,,,,
RC_OUT[7],Output,PIN_C2,1,B1_N0,PIN_C2,,,,,
RC_OUT[6],Output,PIN_C1,1,B1_N0,PIN_C1,,,,,
RC_OUT[5],Output,PIN_E1,1,B1_N0,PIN_E1,,,,,
RC_OUT[4],Output,PIN_F2,1,B1_N0,PIN_F2,,,,,
RC_OUT[3],Output,PIN_H1,1,B1_N1,PIN_H1,,,,,
RC_OUT[2],Output,PIN_J3,1,B1_N1,PIN_J3,,,,,
RC_OUT[1],Output,PIN_J2,1,B1_N1,PIN_J2,,,,,
RC_OUT[0],Output,PIN_J1,1,B1_N1,PIN_J1,,,,,
